Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2013-03-09;32.2;30.3;15.7;4.3;5.3;3.9;5.0;0.9;1.3;1.0
2013-08-20;28.6;33.6;15.8;5.5;5.1;3.1;3.3;3.1;0.6;1.1
2013-06-08;27.3;32.4;21.0;1.9;5.9;3.6;3.8;1.7;1.4;1.0
2013-02-07;29.5;33.9;19.6;1.7;6.6;2.2;2.7;1.4;0.8;0.5
2013-04-16;27.3;34.9;18.5;3.9;6.5;3.2;4.1;0.0;0.0;1.5
2012-06-09;31.5;33.2;20.0;3.7;3.9;2.8;3.7;0.2;0.4;0.6
2012-03-01;34.5;30.3;18.2;2.2;4.7;3.4;4.5;0.0;0.3;1.9
